Date,Open,High,Low,Close,Volume,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume
2023-05-10 12:00:00,28418.9,28420.0,28320.0,28419.6,11991.674,340065622.9809,1800,2340.482,66414478.7825
2023-05-10 13:00:00,28356.0,28450.0,28319.0,28352.0,6031.529,171114996.1695,1878,2484.577,70505761.2841
2023-05-10 14:00:00,28440.0,28488.0,28319.0,28370.2,5129.534,145518762.1154,1686,2418.931,68670895.5524
2023-05-10 15:00:00,28356.0,28550.0,28000.0,28353.0,18006.706,509410787.4276,2434,6821.812,192618824.9244
2023-05-10 16:00:00,28352.0,28549.0,28291.0,28508.0,4565.511,129553670.549,2039,1963.987,55788125.9399
2023-05-10 17:00:00,28356.0,28508.0,27000.0,28352.0,25343.481,710405359.7831,6778,13541.198,382963732.1098
2023-05-10 18:00:00,28356.0,28489.9,28022.0,28469.0,4538.249,128655236.7337,1739,2541.821,72142196.4849
2023-05-10 19:00:00,28400.0,28490.0,28083.4,28355.9,4582.037,129951854.392,1485,2188.832,62130029.7355
2023-05-10 20:00:00,28355.9,28489.8,28245.8,28352.0,4266.566,120998562.9436,1275,1938.769,55020546.814
2023-05-10 21:00:00,28356.0,28489.8,28120.0,28352.0,4579.412,129820371.7671,1477,2284.04,64801800.2684
2023-05-10 22:00:00,28400.0,28490.0,28120.0,28489.9,5010.703,142070828.7003,1215,2676.259,75936368.3557
2023-05-10 23:00:00,28352.0,28490.0,28223.3,28355.9,3693.274,104754887.7941,958,1731.809,49181573.0258
2023-05-11 00:00:00,28355.9,28490.0,28150.0,28356.0,3585.381,101652090.5703,1187,1832.847,51997570.7268
2023-05-11 01:00:00,28352.0,28449.0,28200.7,28356.0,3452.772,97900276.5902,1289,1613.997,45789823.8858
2023-05-11 02:00:00,28356.0,28449.8,28250.0,28356.0,4497.539,127545184.2902,28525,2238.089,63512698.519
2023-05-11 03:00:00,28352.0,28445.0,28251.0,28444.9,3887.271,110228082.1408,22685,1869.222,53045044.7554
2023-05-11 04:00:00,28352.0,28449.0,28250.0,28355.9,3996.668,113313160.1794,1328,1909.471,54174310.9615
2023-05-11 05:00:00,28352.0,28443.9,28268.0,28356.0,5401.36,153183030.6467,1461,2641.506,74955807.7067
